sample_id,label,attn_layer_0,mlp_layer_0,attn_layer_1,mlp_layer_1,attn_layer_2,mlp_layer_2,attn_layer_3,mlp_layer_3,attn_layer_4,mlp_layer_4,attn_layer_5,mlp_layer_5,attn_layer_6,mlp_layer_6,attn_layer_7,mlp_layer_7,attn_layer_8,mlp_layer_8,attn_layer_9,mlp_layer_9,attn_layer_10,mlp_layer_10,attn_layer_11,mlp_layer_11,attn_layer_12,mlp_layer_12,attn_layer_13,mlp_layer_13,attn_layer_14,mlp_layer_14,attn_layer_15,mlp_layer_15,attn_layer_16,mlp_layer_16,attn_layer_17,mlp_layer_17,attn_layer_18,mlp_layer_18,attn_layer_19,mlp_layer_19,attn_layer_20,mlp_layer_20,attn_layer_21,mlp_layer_21,attn_layer_22,mlp_layer_22,attn_layer_23,mlp_layer_23,group,attention_drift,ffn_drift
ragtruth_10186,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Early (1-25%),0.1958620250225067,0.5047918309768041
ragtruth_10186,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mid (26-75%),0.3456565663218498,0.5966872572898865
ragtruth_10186,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Late (76-100%),0.09246611595153809,0.22583907842636108
ragtruth_10187,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Early (1-25%),0.13559789458910623,0.43315225342909497
ragtruth_10187,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mid (26-75%),0.2820638219515483,0.4866701743255059
ragtruth_10187,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Late (76-100%),0.08930570880572002,0.21009826163450876
ragtruth_10194,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Early (1-25%),0.18661914269129434,0.5018686950206757
ragtruth_10194,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mid (26-75%),0.3017355650663376,0.5489970209697882
ragtruth_10194,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Late (76-100%),0.07513854900995891,0.22951675454775491
ragtruth_10196,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Early (1-25%),0.20616641640663147,0.49343404670556384
ragtruth_10196,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mid (26-75%),0.34024130056301755,0.5448081803818544
ragtruth_10196,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Late (76-100%),0.07441931962966919,0.23410943150520325
ragtruth_10197,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Early (1-25%),0.1801643967628479,0.4943282554546992
ragtruth_10197,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mid (26-75%),0.2884907325108846,0.556975125024716
ragtruth_10197,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Late (76-100%),0.07515119512875874,0.22531945506731668
ragtruth_10198,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Early (1-25%),0.22856420278549194,0.5084124008814493
ragtruth_10198,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mid (26-75%),0.377106415728728,0.5662325527518988
ragtruth_10198,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Late (76-100%),0.08936546246210735,0.27566444377104443
ragtruth_10199,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Early (1-25%),0.1801643967628479,0.4943282554546992
ragtruth_10199,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mid (26-75%),0.2884907325108846,0.556975125024716
ragtruth_10199,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Late (76-100%),0.07515119512875874,0.22531945506731668
ragtruth_10232,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Early (1-25%),0.17971270283063254,0.5482748697201411
ragtruth_10232,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mid (26-75%),0.30449725935856503,0.5602234229445457
ragtruth_10232,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Late (76-100%),0.08312087257703145,0.26425562302271527
ragtruth_10233,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Early (1-25%),0.1574093500773112,0.5210793713728586
ragtruth_10233,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mid (26-75%),0.27093280851840973,0.5121199538310369
ragtruth_10233,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Late (76-100%),0.08512625098228455,0.2452761431535085
ragtruth_10234,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Early (1-25%),0.19305822253227234,0.5492004056771597
ragtruth_10234,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mid (26-75%),0.3317485551039378,0.569970483581225
ragtruth_10234,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Late (76-100%),0.08515716592470805,0.2683930993080139
ragtruth_10235,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Early (1-25%),0.12321217854817708,0.4634082665046056
ragtruth_10235,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mid (26-75%),0.201512411236763,0.4334752211968104
ragtruth_10235,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Late (76-100%),0.05369992057482401,0.16112871964772543
ragtruth_10254,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Early (1-25%),0.1630924940109253,0.5122992992401123
ragtruth_10254,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mid (26-75%),0.26826485991477966,0.5153063107281923
ragtruth_10254,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Late (76-100%),0.14378472169240317,0.32970058421293896
ragtruth_10256,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Early (1-25%),0.36837194363276166,0.6757013127207756
ragtruth_10256,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mid (26-75%),0.5337806219855944,0.7339350990951061
ragtruth_10256,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Late (76-100%),0.1916582187016805,0.4141854445139567
ragtruth_10258,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Early (1-25%),0.280882587035497,0.629410078128179
ragtruth_10258,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mid (26-75%),0.4342987885077794,0.6527307642002901
ragtruth_10258,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Late (76-100%),0.1666228473186493,0.3791980842749278
ragtruth_10259,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Early (1-25%),0.3152918616930644,0.6388995324571928
ragtruth_10259,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mid (26-75%),0.4774703048169613,0.6760107837617397
ragtruth_10259,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Late (76-100%),0.17775020003318787,0.39043938865264255
ragtruth_10292,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Early (1-25%),0.3024764160315196,0.5396278202533722
ragtruth_10292,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mid (26-75%),0.47437753217915696,0.648554532478253
ragtruth_10292,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Late (76-100%),0.1469279627005259,0.359244445959727
ragtruth_10293,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Early (1-25%),0.1820965806643168,0.44866660237312317
ragtruth_10293,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mid (26-75%),0.30913351972897846,0.5358686471978823
ragtruth_10293,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Late (76-100%),0.08276805281639099,0.23076962431271872
ragtruth_10294,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Early (1-25%),0.820117129633824,0.5863035569588343
ragtruth_10294,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mid (26-75%),0.9020958294471105,0.561949827397863
ragtruth_10294,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Late (76-100%),0.42510138762493926,1.068324654052655
ragtruth_10295,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Early (1-25%),0.18643040458361307,0.4559049258629481
ragtruth_10295,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mid (26-75%),0.3178615868091583,0.5444790398081144
ragtruth_10295,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Late (76-100%),0.08929813901583354,0.24001100659370422
ragtruth_10298,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Early (1-25%),0.12663028637568155,0.49286362032095593
ragtruth_10298,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mid (26-75%),0.19467970728874207,0.4179276842623949
ragtruth_10298,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Late (76-100%),0.0849146842956543,0.2051165501276652
ragtruth_10299,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Early (1-25%),0.3007190227508545,0.6450894226630529
